@RELATION dn2a_lag

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE c-3 REAL
@ATTRIBUTE c-2 REAL
@ATTRIBUTE c-1 REAL
@ATTRIBUTE c REAL

@DATA
5.523251839,4.459778531,469.8413438,465.4386504,460.99406,456.5088413
5.457720866,4.534252156,465.4386504,460.99406,456.5088413,451.9842718
5.391704226,4.608630353,460.99406,456.5088413,451.9842718,447.4216379
5.325220531,4.682893308,456.5088413,451.9842718,447.4216379,442.822234
5.258288499,4.757021161,451.9842718,447.4216379,442.822234,438.1873626
5.190926947,4.830994009,447.4216379,442.822234,438.1873626,433.518333
5.123154782,4.904791921,442.822234,438.1873626,433.518333,428.8164617
5.054990995,4.978394935,438.1873626,433.518333,428.8164617,424.0830712
4.986454656,5.051783073,433.518333,428.8164617,424.0830712,419.31949
4.917564904,5.124936345,428.8164617,424.0830712,419.31949,414.5270521
4.848340945,5.197834753,424.0830712,419.31949,414.5270521,409.707096
4.778802037,5.270458305,419.31949,414.5270521,409.707096,404.860965
4.708967493,5.342787016,414.5270521,409.707096,404.860965,399.9900061
4.638856666,5.414800916,409.707096,404.860965,399.9900061,395.0955697
4.568488948,5.48648006,404.860965,399.9900061,395.0955697,390.1790094
4.497883756,5.557804533,399.9900061,395.0955697,390.1790094,385.241681
4.427060534,5.628754457,395.0955697,390.1790094,385.241681,380.2849423
4.356038739,5.699309998,390.1790094,385.241681,380.2849423,375.3101529
4.284837835,5.769451374,385.241681,380.2849423,375.3101529,370.3186729
4.213477289,5.83915886,380.2849423,375.3101529,370.3186729,365.3118633
4.141976564,5.9084128,375.3101529,370.3186729,365.3118633,360.291085
4.070355108,5.977193606,370.3186729,365.3118633,360.291085,355.2576985
3.998632349,6.045481774,365.3118633,360.291085,355.2576985,350.2130633
3.926827691,6.113257883,360.291085,355.2576985,350.2130633,345.1585374
3.854960502,6.180502608,355.2576985,350.2130633,345.1585374,340.0954769
3.783050113,6.247196723,350.2130633,345.1585374,340.0954769,335.0252357
3.711115804,6.313321111,345.1585374,340.0954769,335.0252357,329.9491647
3.639176804,6.378856769,340.0954769,335.0252357,329.9491647,324.8686113
3.567252279,6.443784814,335.0252357,329.9491647,324.8686113,319.7849192
3.495361328,6.508086493,329.9491647,324.8686113,319.7849192,314.6994277
3.423522976,6.571743186,324.8686113,319.7849192,314.6994277,309.6134715
3.351756166,6.634736417,319.7849192,314.6994277,309.6134715,304.5283797
3.280079754,6.697047857,314.6994277,309.6134715,304.5283797,299.445476
3.208512499,6.758659332,309.6134715,304.5283797,299.445476,294.3660778
3.137073061,6.81955283,304.5283797,299.445476,294.3660778,289.2914955
3.065779992,6.879710509,299.445476,294.3660778,289.2914955,284.2230329
2.994651727,6.939114699,294.3660778,289.2914955,284.2230329,279.1619859
2.923706583,6.997747914,289.2914955,284.2230329,279.1619859,274.1096423
2.852962748,7.055592855,284.2230329,279.1619859,274.1096423,269.0672815
2.782438275,7.112632417,279.1619859,274.1096423,269.0672815,264.0361741
2.712151079,7.168849695,274.1096423,269.0672815,264.0361741,259.017581
2.642118929,7.224227992,269.0672815,264.0361741,259.017581,254.0127534
2.572359437,7.278750824,264.0361741,259.017581,254.0127534,249.0229324
2.50289006,7.332401924,259.017581,254.0127534,249.0229324,244.0493481
2.43372809,7.385165252,254.0127534,249.0229324,244.0493481,239.0932197
2.364890645,7.437024999,249.0229324,244.0493481,239.0932197,234.1557547
2.296394669,7.487965593,244.0493481,239.0932197,234.1557547,229.2381487
2.228256922,7.537971703,239.0932197,234.1557547,229.2381487,224.3415849
2.160493974,7.587028248,234.1557547,229.2381487,224.3415849,219.4672337
2.093122202,7.635120401,229.2381487,224.3415849,219.4672337,214.6162524
2.026157783,7.682233595,224.3415849,219.4672337,214.6162524,209.7897845
1.959616689,7.728353527,219.4672337,214.6162524,209.7897845,204.9889597
1.893514677,7.773466165,214.6162524,209.7897845,204.9889597,200.2148933
1.827867293,7.817557753,209.7897845,204.9889597,200.2148933,195.4686858
1.762689857,7.860614815,204.9889597,200.2148933,195.4686858,190.7514227
1.697997464,7.902624163,200.2148933,195.4686858,190.7514227,186.0641738
1.633804974,7.943572899,195.4686858,190.7514227,186.0641738,181.4079933
1.570127014,7.983448419,190.7514227,186.0641738,181.4079933,176.783919
1.506977966,8.022238423,186.0641738,181.4079933,176.783919,172.1929724
1.444371965,8.059930915,181.4079933,176.783919,172.1929724,167.6361577
1.382322895,8.096514207,176.783919,172.1929724,167.6361577,163.1144624
1.320844384,8.131976929,172.1929724,167.6361577,163.1144624,158.628856
1.259949796,8.166308028,167.6361577,163.1144624,158.628856,154.1802905
1.199652235,8.199496773,163.1144624,158.628856,154.1802905,149.7696995
1.139964531,8.231532761,158.628856,154.1802905,149.7696995,145.3979982
1.080899241,8.262405922,154.1802905,149.7696995,145.3979982,141.066083
1.022468645,8.292106517,149.7696995,145.3979982,141.066083,136.7748313
0.96468474,8.32062515,145.3979982,141.066083,136.7748313,132.525101
0.907559239,8.347952765,141.066083,136.7748313,132.525101,128.3177307
0.851103563,8.374080653,136.7748313,132.525101,128.3177307,124.1535389
0.795328841,8.399000454,132.525101,128.3177307,124.1535389,120.0333239
0.740245905,8.42270416,128.3177307,124.1535389,120.0333239,115.9578638
0.685865288,8.445184121,124.1535389,120.0333239,115.9578638,111.927916
0.632197217,8.466433043,120.0333239,115.9578638,111.927916,107.944217
0.579251616,8.486443996,115.9578638,111.927916,107.944217,104.0074824
0.527038097,8.505210413,111.927916,107.944217,104.0074824,100.1184064
0.47556596,8.522726097,107.944217,104.0074824,100.1184064,96.27766162
0.42484419,8.538985217,104.0074824,100.1184064,96.27766162,92.48589917
0.374881454,8.553982315,100.1184064,96.27766162,92.48589917,88.7437482
0.325686099,8.56771231,96.27766162,92.48589917,88.7437482,85.05181583
0.277266149,8.580170494,92.48589917,88.7437482,85.05181583,81.41068696
0.229629303,8.59135254,88.7437482,85.05181583,81.41068696,77.82092412
0.182782933,8.601254498,85.05181583,81.41068696,77.82092412,74.2830673
0.136734081,8.609872803,81.41068696,77.82092412,74.2830673,70.79763383
0.091489459,8.617204272,77.82092412,74.2830673,70.79763383,67.36511825
0.047055447,8.623246108,74.2830673,70.79763383,67.36511825,63.98599216
0.003438089,8.627995897,70.79763383,67.36511825,63.98599216,60.66070414
-0.039356905,8.631451615,67.36511825,63.98599216,60.66070414,57.38967961
-0.081324163,8.633611625,63.98599216,60.66070414,57.38967961,54.17332079
-0.122458652,8.634474681,60.66070414,57.38967961,54.17332079,51.01200656
-0.162755676,8.634039924,57.38967961,54.17332079,51.01200656,47.9060924
-0.202210881,8.632306886,54.17332079,51.01200656,47.9060924,44.85591037
-0.240820253,8.629275491,51.01200656,47.9060924,44.85591037,41.86176897
-0.278580119,8.624946052,47.9060924,44.85591037,41.86176897,38.92395317
-0.31548715,8.619319275,44.85591037,41.86176897,38.92395317,36.04272435
-0.351538358,8.612396256,41.86176897,38.92395317,36.04272435,33.21832023
-0.386731097,8.604178482,38.92395317,36.04272435,33.21832023,30.45095494
-0.421063063,8.59466783,36.04272435,33.21832023,30.45095494,27.74081893
-0.454532298,8.583866569,33.21832023,30.45095494,27.74081893,25.08807902
-0.487137183,8.571777355,30.45095494,27.74081893,25.08807902,22.49287839
-0.518876442,8.558403235,27.74081893,25.08807902,22.49287839,19.9553366
-0.549749141,8.543747642,25.08807902,22.49287839,19.9553366,17.47554966
-0.579754685,8.527814398,22.49287839,19.9553366,17.47554966,15.05359003
-0.608892822,8.510607708,19.9553366,17.47554966,15.05359003,12.68950666
-0.637163637,8.492132164,17.47554966,15.05359003,12.68950666,10.3833251
-0.664567554,8.472392739,15.05359003,12.68950666,10.3833251,8.135047539
-0.691105333,8.451394789,12.68950666,10.3833251,8.135047539,5.944652876
-0.716778071,8.429144048,10.3833251,8.135047539,5.944652876,3.812096832
-0.7415872,8.405646628,8.135047539,5.944652876,3.812096832,1.737312035
-0.76553448,8.380909018,5.944652876,3.812096832,1.737312035,-0.279791869
-0.788622008,8.354938079,3.812096832,1.737312035,-0.279791869,-2.239328098
-0.810852207,8.327741044,1.737312035,-0.279791869,-2.239328098,-4.141432609
-0.832227826,8.299325515,-0.279791869,-2.239328098,-4.141432609,-5.986263961
-0.85275194,8.269699458,-2.239328098,-4.141432609,-5.986263961,-7.774003167
-0.872427948,8.238871206,-4.141432609,-5.986263961,-7.774003167,-9.504853545
-0.891259568,8.20684945,-5.986263961,-7.774003167,-9.504853545,-11.17904055
-0.909250835,8.17364324,-7.774003167,-9.504853545,-11.17904055,-12.7968116
-0.926406101,8.139261978,-9.504853545,-11.17904055,-12.7968116,-14.35843591
-0.942730029,8.103715422,-11.17904055,-12.7968116,-14.35843591,-15.86420427
-0.958227592,8.067013673,-12.7968116,-14.35843591,-15.86420427,-17.31442887
-0.97290407,8.02916718,-14.35843591,-15.86420427,-17.31442887,-18.70944309
-0.986765044,7.99018673,-15.86420427,-17.31442887,-18.70944309,-20.04960129
-0.999816399,7.950083449,-17.31442887,-18.70944309,-20.04960129,-21.33527855
-1.012064312,7.908868796,-18.70944309,-20.04960129,-21.33527855,-22.56687047
-1.023515257,7.866554557,-20.04960129,-21.33527855,-22.56687047,-23.74479292
-1.034175996,7.823152845,-21.33527855,-22.56687047,-23.74479292,-24.86948179
-1.044053576,7.778676092,-22.56687047,-23.74479292,-24.86948179,-25.94139273
-1.053155327,7.73313705,-23.74479292,-24.86948179,-25.94139273,-26.96100087
-1.061488857,7.686548777,-24.86948179,-25.94139273,-26.96100087,-27.92880056
-1.069062047,7.638924644,-25.94139273,-26.96100087,-27.92880056,-28.84530509
-1.075883047,7.59027832,-26.96100087,-27.92880056,-28.84530509,-29.71104639
-1.081960275,7.540623774,-27.92880056,-28.84530509,-29.71104639,-30.52657475
-1.087302407,7.489975267,-28.84530509,-29.71104639,-30.52657475,-31.29245848
-1.091918377,7.438347348,-29.71104639,-30.52657475,-31.29245848,-32.00928362
-1.095817371,7.385754848,-30.52657475,-31.29245848,-32.00928362,-32.67765364
-1.099008821,7.332212875,-31.29245848,-32.00928362,-32.67765364,-33.29818906
-1.1015024,7.277736809,-32.00928362,-32.67765364,-33.29818906,-33.87152718
